time,height
35.897,-1.961053
35.924,-0.8478758
35.957,0.42762715
35.988,1.4746995
36.023,2.0959494
36.056,2.1689737
36.086,1.6564275
36.116,0.89510673
36.152,-0.018656075
36.197,-0.8433512
36.218,-1.3165187
36.241,-1.3566246
36.272,-1.0501211
36.304,-0.5532666
36.342,0.014418989
36.371,0.35992584
36.406,0.5318253
36.44,0.45670772
36.472,0.19797373
36.494,-0.03015852
36.528,-0.19560443
36.557,-0.17697796
36.588,0.018923998
36.622,0.30582234
36.652,0.57088774
36.686,0.6960843
36.728,0.5542412
36.749,0.2363028
36.778,-0.26910472
36.814,-0.76793325
36.85,-1.1301937
36.871,-1.2148618
36.903,-0.976246
36.935,-0.44924366
36.981,0.31894654
36.997,0.84348255
37.033,1.2901696
37.064,1.3993778
37.094,1.1390541
37.127,0.6052228
37.159,-0.082093954
37.189,-0.7144246
37.23,-1.1335261
37.26,-1.194628
37.283,-0.96741587
37.314,-0.49742907
37.348,0.0515849
37.38,0.48491222
37.41,0.73141557
37.445,0.7187687
37.473,0.46073824
37.504,0.11353403
37.54,-0.24161421
37.578,-0.42737642
37.6,-0.39256215
37.629,-0.17180628
37.662,0.16490829
37.694,0.48311737
37.723,0.65600765
37.753,0.5811965
37.786,0.27851933
37.816,-0.21612555
37.856,-0.79231954
37.888,-1.1106825
37.91,-1.1597693
37.945,-0.8825934
37.991,-0.17634684
38.011,0.46445978
38.042,1.1013439
38.079,1.5577085
38.104,1.5738398
38.134,1.191231
38.166,0.41793025
38.199,-0.5221132
38.233,-1.3837166
38.268,-1.8512821
38.297,-1.832306
38.329,-1.2905414
38.369,-0.29923332
38.394,0.658986
38.422,1.5541664
38.455,2.0284936
38.493,1.9144114
38.518,1.3040432
38.565,0.26312494
38.595,-0.8615165
38.616,-1.7020435
38.653,-2.08516
38.683,-1.9144784
38.714,-1.2251883
38.748,-0.14850318
38.785,0.7957259
38.816,1.5912172
38.846,1.9267764
38.883,1.7160733
38.913,1.0594645
38.944,0.19647852
38.983,-0.6952986
39.001,-1.3401043
39.024,-1.4829218
39.055,-1.2671108
39.09,-0.76300573
39.121,-0.086844325
39.15,0.41092598
39.19,0.72956806
39.212,0.75512886
39.244,0.537456
39.283,0.23461628
39.309,-0.08136076
39.339,-0.20621747
39.37,-0.13514787
39.4,0.09849593
39.431,0.3808078
39.461,0.5668436
39.498,0.5179725
39.524,0.21054953
39.557,-0.32809275
39.607,-0.9557035
39.63,-1.3858643
39.656,-1.4350507
39.683,-1.0931909
39.715,-0.3649265
39.748,0.6468558
39.781,1.5727644
39.811,2.1322517
39.842,2.14753
39.882,1.5027194
39.906,0.41365325
39.939,-0.9485801
39.985,-2.0812004
40.018,-2.704976
40.033,-2.5531735
40.065,-1.7045313
40.097,-0.42611495
40.132,1.177307
40.16,2.2906244
40.194,2.900557
40.223,2.6809163
40.255,1.6012677
40.286,0.18409666
40.317,-1.3317842
40.349,-2.477479
40.384,-2.927076
40.412,-2.5255623
40.444,-1.3649601
40.473,0.10125071
40.515,1.8464015
40.537,2.648287
40.569,2.8377047
40.601,2.1628447
40.633,0.787876
40.668,-0.73893774
40.698,-2.0745559
40.726,-2.752554
40.762,-2.5741434
40.791,-1.6696382
40.821,-0.32176247
40.859,1.1861249
40.889,2.3370583
40.92,2.718278
40.949,2.2937484
40.98,1.2290771
41.015,-0.29132617
41.045,-1.5609083
41.075,-2.331587
41.112,-2.4428926
41.148,-1.7641718
41.183,-0.6973175
41.219,0.59969276
41.234,1.5388064
41.266,2.0092185
41.297,1.8467078
41.329,1.1445801
41.365,0.20088053
41.393,-0.71342814
41.426,-1.2542545
41.461,-1.3384024
41.489,-0.956431
41.521,-0.25945264
41.549,0.39717358
41.584,0.8091653
41.615,0.8299134
41.648,0.45161164
41.678,-0.13503152
41.708,-0.7105413
41.74,-0.9971931
41.771,-0.86332095
41.81,-0.3063754
41.841,0.46356058
41.879,1.2093866
41.907,1.6336122
41.928,1.4862807
41.961,0.81530774
41.992,-0.16327488
42.024,-1.3252965
42.054,-2.0311358
42.09,-2.2199392
42.116,-1.7357433
42.153,-0.54408455
42.181,0.76522076
42.216,2.0226796
42.246,2.6310525
42.275,2.4352148
42.313,1.4661591
42.339,0.047718167
42.368,-1.4904912
42.401,-2.7014565
42.433,-2.9810593
42.462,-2.3582664
42.495,-0.85510296
42.53,1.0296508
42.558,2.5260768
42.606,3.3720174
42.624,3.1083314
42.653,1.8901485
42.689,0.05510521
42.715,-1.9533619
42.747,-3.5020814
42.779,-3.9870026
42.824,-3.212535
42.848,-1.4253461
42.883,0.9529575
42.918,3.1984072
42.948,4.4319506
42.968,4.4033976
42.999,3.137101
43.031,0.7198125
43.061,-1.6952434
43.117,-4.061053
43.133,-4.984985
43.158,-4.4581466
43.19,-2.6353438
43.219,-0.106119335
43.252,2.7171354
43.29,4.6772685
43.316,5.141494
43.347,4.083542
43.379,1.8230653
43.41,-1.176724
43.442,-3.610741
43.473,-5.08627
43.503,-5.062054
43.535,-3.4556723
43.567,-0.8220221
43.601,2.1891944
43.628,4.4473696
43.661,5.53615
43.693,4.9267554
43.723,2.8582878
43.759,-0.40207347
43.786,-3.356423
43.817,-5.4062586
43.849,-5.933279
43.881,-4.6660037
43.914,-1.9644525
43.943,1.0609303
43.979,4.116984
44.008,5.9970565
44.04,6.1389923
44.069,4.5746818
44.099,1.8729533
44.153,-1.8061247
44.17,-4.631552
44.198,-6.039827
44.237,-5.9031024
44.26,-4.1697536
44.293,-1.1945591
44.324,1.7491813
44.355,4.27765
44.388,5.490606
44.418,5.1464243
44.449,3.5961995
44.484,1.054208
44.514,-1.6089749
44.544,-3.5846906
44.577,-4.473401
44.607,-4.0845246
44.638,-2.6430118
44.671,-0.49207073
44.703,1.4268947
44.73,2.8073382
44.763,3.34422
44.794,2.8281403
44.826,1.635228
44.855,0.13737941
44.89,-1.3610356
44.922,-2.2609777
44.952,-2.3662057
44.981,-1.8264327
45.014,-0.81136525
45.046,0.44006956
45.078,1.3194121
45.108,1.7713141
45.146,1.6401644
45.172,1.0255572
45.203,0.2467035
45.235,-0.59500444
45.266,-1.1903563
45.307,-1.355832
45.335,-1.1233461
45.368,-0.59946144
45.402,0.007861912
45.427,0.55353916
